NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,YEAR
Spider-Man,Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,4043,1962
Captain America,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,3360,1941
Wolverine,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,3061,1974
Iron Man,Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,2961,1963
Thor,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,2258,1950
Benjamin Grimm,Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,2255,1961
Reed Richards,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,2072,1961
Hulk,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,2017,1962
Scott Summers,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1955,1963
Jonathan Storm,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1934,1961
Henry McCoy,Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,Heterosexual Characters,Living Characters,1825,1963
Susan Storm,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,1713,1961
Namor McKenzie,No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1528,1939
Ororo Munroe,Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual Characters,Living Characters,1512,1975
Clinton Barton,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1394,1964
Matthew Murdock,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,1338,1964
Stephen Strange,Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1307,1963
Mary Jane Watson,No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,1304,1965
John Jonah Jameson,No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1266,1963
Robert Drake,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1265,1963
Henry Pym,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1237,1962
Charles Xavier,Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual Characters,Deceased Characters,1233,1963
Warren Worthington III,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1230,1963
Piotr Rasputin,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1162,1975
Wanda Maximoff,Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,1161,1964
Nicholas Fury,No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1137,1963
Janet van Dyne,Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Heterosexual Characters,Living Characters,1120,1963
Jean Grey,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Deceased Characters,1107,1963
Natalia Romanova,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050,1964
Kurt Wagner,Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,Heterosexual Characters,Living Characters,1047,1975
Vision,Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,Heterosexual Characters,Living Characters,1007,1968
May Reilly,No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,Heterosexual Characters,Living Characters,1000,1962
Katherine Pryde,Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,886,1980
Carol Danvers,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,881,1968
Jennifer Walters,Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,881,1980
Emma Frost,Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,880,1980
Frank Castle,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,878,1974
Luke Cage,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,856,1972
Rogue,Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Heterosexual Characters,Living Characters,850,1981
Conan,No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,787,1970
Joseph Robertson,No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,752,1967
Pietro Maximoff,Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,Heterosexual Characters,Living Characters,740,1964
Hercules,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725,1965
Victor von Doom,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,721,1962
Max Eisenhardt,Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,709,1963
Elizabeth Braddock,Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708,1976
Norrin Radd,Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual Characters,Living Characters,696,1966
Norman Osborn,Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Heterosexual Characters,Living Characters,692,1964
Eugene Thompson,Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Heterosexual Characters,Living Characters,689,1962
Simon Williams,Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,Heterosexual Characters,Living Characters,686,1964
Samuel Guthrie,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,657,1982
James Buchanan Barnes,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,641,1941
Remy LeBeau,Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,636,1990
Daniel Rand,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,618,1974
Nathan Summers,Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,612,1986
Elizabeth Brant,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,599,1963
